id;dia;turno;sala;posto;duracao
1;application scale;indigo National;20513;orchid Tools;47206
2;New Jersey Gorgeous Soft Fish Mountain;Japan Knoll;49701;hack Intelligent;33436
3;Tasty navigate didactic;payment schemas Industrial;15615;bus withdrawal Toys;22197
4;Distributed;Avon Checking Account impactful;56944;THX;55672
5;bandwidth;Visionary pixel SAS;83021;matrix Belize Dollar maroon;29314
6;Senior;deposit;73590;backing up;12277
7;COM;infomediaries Chief;81744;frictionless solution-oriented;37969
8;Alaska solution-oriented;best-of-breed generate;36275;SQL lavender;97454
9;back-end Fresh Missouri;Central digital supply-chains;2246;optimal Peru;63347
10;Down-sized Metal;methodologies Granite Corporate;69122;Armenian Dram;82258
