id;gid_designa;gid_grupo
1;card Home Loan Account Applications;invoice Research
2;Bedfordshire 4th generation Equatorial Guinea;Auto Loan Account
3;indexing;Savings Account extensible connect
4;robust;interface Buckinghamshire
5;Investment Account Forge Licensed;auxiliary
6;Engineer Toys Fantastic;Licensed
7;Marketing mobile Cayman Islands Dollar;Computer Uzbekistan
8;input invoice calculate;Philippine Peso parsing Triple-buffered
9;deposit Rand Namibia Dollar;Branding
10;Handcrafted Rubber Sausages;Towels Mississippi Product
