id;demograf;social;proc_clin;dial_enf;dial_stat;quali_stat;lab_link;gid_link;asterix_farma;asterix_gab_med
1;22845;33231;99633;54247;97479;49327;65032;8152;19954;40326
2;68022;22056;7219;41839;3065;20357;25768;84045;46262;17419
3;86827;96078;72716;41590;74270;84624;42549;62876;34593;73535
4;37103;76772;98764;50484;4010;54330;86703;51399;57867;58805
5;43861;2939;72525;39551;48666;60618;87342;59772;90070;79295
6;42172;65500;27682;99213;59235;28385;91236;35915;21066;38384
7;62296;46581;63156;83599;73311;23579;13156;77600;71582;40531
8;90903;60185;17968;63254;23754;37284;97139;51261;18097;41303
9;85438;6913;49227;43716;24723;9739;87074;40502;44530;59291
10;51481;57941;35923;66262;59295;9526;16352;65212;39108;31214
