id;nome;demograf;social;proc_clin;dial_enf;dial_stat;quali_stat;lab_link;gid_link;asterix_farma;asterix_gab_med
1;Car payment;32592;26899;59026;79755;43324;31036;98435;45522;14958;1162
2;Handcrafted Cotton Shirt Walks;60002;72188;29166;65698;69498;75705;86012;95264;77985;90781
3;sensor;74916;10493;14592;24204;10279;98666;57090;14249;1836;49888
4;Savings Account Rupiah;55964;77580;977;94123;32646;7241;51771;53424;8786;88253
5;Small bypassing;35780;39692;32209;13271;97746;56754;20085;68946;69319;80058
6;green Chicken Tasty;63643;12421;70647;89622;3158;59477;93621;61660;5197;61294
7;orchestration Accountability;94735;71408;62530;80172;78342;33945;61225;81482;48439;8011
8;Customer Montserrat;81729;78383;45231;48090;64357;4075;52640;16399;73158;43860
9;protocol;59327;24710;65029;15954;47927;87178;61574;21921;32901;97586
10;out-of-the-box Pizza;78969;43365;65870;4366;49819;16167;55536;2086;71920;65326
